table,view,fluxogram
projeto_cf.table_search_term,projeto_cf.view_search_term,table:projeto_cf.ga4_153789277_events_table_natura_new_20240914_copy|view:projeto_cf.view_search_term|table:projeto_cf.table_search_term
projeto_cf.view_omni_shipping_data_v3,projeto_cf.view_omni_shipping_data_v3,table:projeto_cf.ga4_153789277_events_table_natura_new_20240914_copy|view:projeto_cf.view_omni_shipping_data_v3
projeto_cf.view_omni_shipping_data_v3,projeto_cf.view_omni_shipping_data_v3,table:projeto_cf.table_session_attribution_channel_group_by_user_BRASIL|view:projeto_cf.view_omni_shipping_data_v3
projeto_cf.view_omni_shipping_data_v3,projeto_cf.view_omni_shipping_data_v3,table:projeto_cf.table_session_scoped_attribution_by_device_natura|view:projeto_cf.view_omni_shipping_data_v3
projeto_cf.table_omni_shipping_data,projeto_cf.view_omni_shipping_data_v3,view:projeto_cf.view_omni_shipping_data_v3|table:projeto_cf.table_omni_shipping_data
projeto_cf.view_sessions_category_and_product_data,projeto_cf.view_sessions_category_and_product_data,table:projeto_cf.ga4_153789277_events_table_natura_new_20240914_copy|view:projeto_cf.view_sessions_category_and_product_data
projeto_cf.view_sessions_category_and_product_data,projeto_cf.view_sessions_category_and_product_data,table:projeto_cf.table_session_attribution_channel_group_by_user_BRASIL|view:projeto_cf.view_sessions_category_and_product_data
projeto_cf.view_sessions_category_and_product_data,projeto_cf.view_sessions_category_and_product_data,table:projeto_cf.table_session_scoped_attribution_by_device_natura|view:projeto_cf.view_sessions_category_and_product_data
projeto_cf.view_sessions_category_and_product_data,projeto_cf.view_sessions_category_and_product_data,table:projeto_cf.table_session_classification|view:projeto_cf.view_sessions_category_and_product_data
table_sessions_category_and_product_pages_data,projeto_cf.view_sessions_category_and_product_data,view:projeto_cf.view_sessions_category_and_product_data|table:table_sessions_category_and_product_pages_data
projeto_cf.view_pages_category_and_product_data,projeto_cf.view_pages_category_and_product_data,table:projeto_cf.ga4_153789277_events_table_natura_new_20240914_copy|view:projeto_cf.view_pages_category_and_product_data
projeto_cf.view_pages_category_and_product_data,projeto_cf.view_pages_category_and_product_data,table:projeto_cf.table_session_classification|view:projeto_cf.view_pages_category_and_product_data
projeto_cf.view_pages_category_and_product_data,projeto_cf.view_pages_category_and_product_data,table:analytics_153789277.events_*|view:projeto_cf.view_pages_category_and_product_data
projeto_cf.table_pages_category_and_product_data,projeto_cf.view_pages_category_and_product_data,view:projeto_cf.view_pages_category_and_product_data|table:projeto_cf.table_pages_category_and_product_data
projeto_cf.view_one_page_dashboard,projeto_cf.view_one_page_dashboard,table:projeto_cf.table_checkout_funnel|view:projeto_cf.view_one_page_dashboard
projeto_cf.view_one_page_dashboard,projeto_cf.view_one_page_dashboard,table:projeto_cf.table_login_data|view:projeto_cf.view_one_page_dashboard
projeto_cf.view_one_page_dashboard,projeto_cf.view_one_page_dashboard,table:projeto_cf.table_shopping_bag_data|view:projeto_cf.view_one_page_dashboard
projeto_cf.view_one_page_dashboard,projeto_cf.view_one_page_dashboard,table:projeto_cf.table_natura_revenue_session_user_data_v2|view:projeto_cf.view_one_page_dashboard
projeto_cf.table_one_page_dashboard,projeto_cf.view_one_page_dashboard,view:projeto_cf.view_one_page_dashboard|table:projeto_cf.table_one_page_dashboard
